time,pos_x,pos_y
0.0171687,1.00216 , -0.362937,
0.0200347,0.992217 , -0.335112,
0.0172931,0.984651 , -0.306498,
0.0206499,0.979479 , -0.277258,
0.0189112,0.976698 , -0.247543,
0.0193137,0.976292 , -0.217493,
0.0167112,0.978231 , -0.187237,
0.0193249,0.982475 , -0.156885,
0.0184625,0.988973 , -0.12653,
0.0179002,0.997664 , -0.0962448,
0.0184375,1.00848 , -0.0660778,
0.017842,1.02135 , -0.0360522,
0.0171042,1.03618 , -0.00616174,
0.0180764,1.05289 , 0.0236324,
0.0181065,1.07137 , 0.0534047,
0.0189807,1.0915 , 0.0832651,
0.0169841,1.11311 , 0.113343,
0.0187589,1.13598 , 0.14377,
0.0166181,1.15983 , 0.17469,
0.0198854,1.18431 , 0.206253,
0.0183579,1.209 , 0.238606,
0.0195366,1.23347 , 0.271865,
0.0167664,1.25722 , 0.306094,
0.0165291,1.27977 , 0.341282,
0.0172555,1.30068 , 0.377336,
0.0185507,1.31954 , 0.41408,
0.0195259,1.33604 , 0.451274,
0.0207752,1.34994 , 0.488634,
0.016018,1.36109 , 0.525856,
0.0187455,1.36941 , 0.562644,
0.0172258,1.37487 , 0.598724,
0.0169725,1.37751 , 0.633864,
0.0181107,1.37738 , 0.667881,
0.018097,1.37456 , 0.700637,
0.0184261,1.36915 , 0.732032,
0.0179781,1.36124 , 0.762019,
0.0182548,1.35094 , 0.79059,
0.0187738,1.33832 , 0.81776,
0.0163135,1.3235 , 0.84355,
0.0175979,1.30655 , 0.867978,
0.016184,1.28758 , 0.89105,
0.0170787,1.26668 , 0.912751,
0.0150094,1.24395 , 0.933053,
0.0183245,1.21949 , 0.951917,
0.0162968,1.1934 , 0.969311,
0.0167344,1.16576 , 0.985206,
0.0161676,1.13667 , 0.999584,
0.0162765,1.10619 , 1.01244,
0.0162828,1.07439 , 1.02377,
0.0168429,1.04134 , 1.0336,
0.0179643,1.00708 , 1.04196,
0.0153405,0.97165 , 1.04889,
0.0182843,0.935082 , 1.05443,
0.0154051,0.897397 , 1.05865,
0.0189352,0.858607 , 1.0616,
0.0169716,0.818719 , 1.06336,
0.0168565,0.777732 , 1.064,
0.0160502,0.735653 , 1.06359,
0.0178427,0.692508 , 1.06223,
0.0174165,0.648328 , 1.05999,
0.0177849,0.60314 , 1.05698,
0.0171938,0.556966 , 1.05328,
0.0173981,0.509828 , 1.04897,
0.0178525,0.461743 , 1.04415,
0.018501,0.41273 , 1.03888,
0.0170015,0.362807 , 1.03324,
0.019461,0.311995 , 1.02728,
0.0180161,0.260316 , 1.02103,
0.0174119,0.207808 , 1.0145,
0.0187675,0.154531 , 1.0077,
0.0183182,0.10056 , 1.0006,
0.0181615,0.0459826 , 0.993162,
0.0204316,-0.00910347 , 0.985315,
0.0175912,-0.0645894 , 0.976965,
0.020487,-0.120351 , 0.967988,
0.017741,-0.176247 , 0.958235,
0.0186121,-0.232115 , 0.94754,
0.0169968,-0.287767 , 0.935725,
0.0180189,-0.34299 , 0.922614,
0.0191153,-0.397544 , 0.908042,
0.0185411,-0.451165 , 0.891873,
0.0178384,-0.503573 , 0.874012,
0.0207917,-0.554474 , 0.85441,
0.0189028,-0.603573 , 0.833073,
0.0179625,-0.650582 , 0.81006,
0.0172258,-0.695236 , 0.785476,
0.017918,-0.737325 , 0.759452,
0.0171726,-0.776666 , 0.732146,
0.0197326,-0.813098 , 0.703751,
0.0172729,-0.846493 , 0.67447,
0.017914,-0.876761 , 0.644513,
0.0178325,-0.903842 , 0.614094,
0.0167799,-0.927701 , 0.583434,
0.0202516,-0.948334 , 0.552755,
0.0171019,-0.965763 , 0.52227,
0.0177353,-0.980047 , 0.492172,
0.0174808,-0.991271 , 0.46263,
0.0166698,-0.999548 , 0.433791,
0.0189485,-1.00501 , 0.405791,
0.0143837,-1.0078 , 0.378743,
0.0164328,-1.00807 , 0.352743,
0.0143423,-1.00599 , 0.327859,
0.0156663,-1.00171 , 0.304123,
0.0135887,-0.995351 , 0.281531,
0.01496,-0.987026 , 0.260051,
0.0142468,-0.976815 , 0.239641,
0.0172804,-0.964772 , 0.220268,
0.0161661,-0.950936 , 0.201926,
0.0155836,-0.935335 , 0.184635,
0.0158472,-0.918004 , 0.168448,
0.0169608,-0.898988 , 0.153445,
0.0196549,-0.878353 , 0.139726,
0.0178673,-0.856192 , 0.127405,
0.0205091,-0.832613 , 0.116594,
0.0180923,-0.807734 , 0.107392,
0.0197163,-0.781671 , 0.099884,
0.0180053,-0.754545 , 0.0941394,
0.0202269,-0.726471 , 0.0902115,
0.0187903,-0.69756 , 0.0881392,
0.0175982,-0.667917 , 0.0879478,
0.0192058,-0.637639 , 0.0896507,
0.0192281,-0.606814 , 0.0932507,
0.0186741,-0.575521 , 0.0987415,
0.0193395,-0.543827 , 0.106109,
0.0168239,-0.511789 , 0.115331,
0.0188746,-0.479452 , 0.126379,
0.0184911,-0.446847 , 0.139217,
0.0167743,-0.41399 , 0.153804,
0.0195974,-0.380882 , 0.17009,
0.0159362,-0.347513 , 0.188015,
0.0176655,-0.313858 , 0.207508,
0.0160664,-0.279894 , 0.228471,
0.017862,-0.245591 , 0.250778,
0.0167626,-0.210907 , 0.274269,
0.0168643,-0.175786 , 0.298748,
0.0167726,-0.140154 , 0.323973,
0.0185319,-0.103926 , 0.349657,
0.0203078,-0.0670138 , 0.375463,
0.0175791,-0.0293423 , 0.401011,
0.0206594,0.00913315 , 0.42589,
0.0196153,0.0484047 , 0.449679,
0.0182265,0.0883986 , 0.471968,
0.0203228,0.128971 , 0.492378,
0.0185299,0.169913 , 0.510585,
0.0174671,0.210962 , 0.526327,
0.0163431,0.251816 , 0.539414,
0.0174632,0.292151 , 0.549727,
0.0174734,0.331644 , 0.557214,
