"X","Y","X_inner","Y_inner","X_outter","Y_outter"
0,-1,9.18485099360515e-18,-1.15,9.18485099360515e-18,-0.85
0.1,-1,0.1,-1.15,0.1,-0.85
0.2,-1,0.2,-1.15,0.2,-0.85
0.3,-1,0.3,-1.15,0.3,-0.85
0.4,-1,0.4,-1.15,0.4,-0.85
0.5,-1,0.5,-1.15,0.5,-0.85
0.6,-1,0.6,-1.15,0.6,-0.85
0.7,-1,0.7,-1.15,0.7,-0.85
0.8,-1,0.8,-1.15,0.8,-0.85
0.9,-1,0.9,-1.15,0.9,-0.85
1,-1,1,-1.15,1,-0.85
1.1,-1,1.1,-1.15,1.1,-0.85
1.2,-1,1.2,-1.15,1.2,-0.85
1.3,-1,1.3,-1.15,1.3,-0.85
1.4,-1,1.4,-1.15,1.4,-0.85
1.5,-1,1.5,-1.15,1.5,-0.85
1.6,-1,1.6,-1.15,1.6,-0.85
1.7,-1,1.7,-1.15,1.7,-0.85
1.79995143367815,-0.998469698295204,1.81420696998339,-1.14779076072328,1.7856958973729,-0.849148635867126
1.89665843501116,-0.974489169599586,1.95381924709773,-1.11317096927641,1.83949762292459,-0.83580736992276
1.98217620557986,-0.923361674254085,2.07727805068244,-1.03936011845954,1.88707436047729,-0.807363230048631
2.04907778697768,-0.849527479805874,2.17386135895126,-0.932768456286897,1.9242942150041,-0.766286503324852
2.09155298023579,-0.759398861592613,2.23518120518675,-0.802653144587877,1.94792475528482,-0.716144578597348
2.11120187692127,-0.661414737792502,2.25892944242902,-0.687425627611067,1.96347431141352,-0.635403847973937
2.12854247013365,-0.562929694120669,2.2762700356414,-0.588940583939234,1.9808149046259,-0.536918804302103
2.14588306334603,-0.464444650448836,2.29361062885378,-0.490455540267401,1.99815549783828,-0.438433760630271
2.1632236565584,-0.365959606777003,2.31095122206615,-0.391970496595568,2.01549609105065,-0.339948716958437
2.18056424977078,-0.267474563105169,2.32829181527853,-0.293485452923734,2.03283668426303,-0.241463673286604
2.19790484298316,-0.168989519433336,2.34563240849091,-0.195000409251901,2.05017727747541,-0.142978629614771
2.21524543619553,-0.070504475761503,2.36297300170328,-0.0965153655800681,2.06751787068778,-0.0444935859429379
2.23258602940791,0.0279805679103298,2.38031359491566,0.00196967809176467,2.08485846390016,0.0539914577288949
2.24992662262029,0.126465611582163,2.39765418812804,0.100454721763598,2.10219905711254,0.152476501400728
2.26726721583266,0.224950655253996,2.41499478134041,0.198939765435431,2.11953965032491,0.250961545072561
2.28460780904504,0.323435698925829,2.43233537455279,0.297424809107264,2.13688024353729,0.349446588744395
2.30194840225742,0.421920742597663,2.44967596776517,0.395909852779098,2.15422083674967,0.447931632416228
2.31928899546979,0.520405786269495,2.46701656097754,0.49439489645093,2.17156142996204,0.546416676088061
2.33662958868217,0.618890829941329,2.48435715418992,0.592879940122763,2.18890202317442,0.644901719759894
2.35315862821524,0.717489705124802,2.50279665636802,0.707075266563574,2.20352060006245,0.727904143686029
2.32740969285945,0.812192114928903,2.45117305437757,0.896942515197779,2.20364633134132,0.727441714660028
2.24842279415814,0.870438350242535,2.29281356631821,1.01371940044469,2.20403202199808,0.727157300040379
2.15034079112105,0.867050906531929,2.09617062876566,1.00692797223746,2.20451095347644,0.727173840826394
2.07308986127097,0.805445059570372,1.96200553799828,0.906243239727803,2.18417418454365,0.70464687941294
2.00589107449935,0.73138884405525,1.89480675122666,0.832187024212681,2.11697539777203,0.630590663897818
1.93869228772772,0.657332628540128,1.82760796445504,0.75813080869756,2.04977661100041,0.556534448382697
1.8714935009561,0.583276413025006,1.76040917768342,0.684074593182437,1.98257782422879,0.482478232867574
1.80429471418448,0.509220197509884,1.6932103909118,0.610018377667315,1.91537903745717,0.408422017352452
1.73709592741286,0.435163981994761,1.62601160414018,0.535962162152193,1.84818025068554,0.33436580183733
1.68038311190518,0.353669209297369,1.54091888716444,0.408893570022167,1.81984733664593,0.298444848572571
1.66767987749147,0.255477797716816,1.51809021658024,0.244390266500936,1.8172695384027,0.266565328932696
1.67507156496873,0.155751357109329,1.5254819040575,0.144663825893449,1.82466122587996,0.166838888325209
1.68246325244598,0.0560249165018425,1.53287359153475,0.0449373852859627,1.83205291335721,0.0671124477177224
1.68985493992323,-0.0437015241056449,1.540265279012,-0.0547890553215248,1.83944460083446,-0.0326139928897651
1.69724662740049,-0.143427964713132,1.54765696648926,-0.154515495929011,1.84683628831172,-0.132340433497252
1.70463831487774,-0.243154405320619,1.55504865396651,-0.254241936536499,1.85422797578897,-0.232066874104739
1.71203000235499,-0.342880845928106,1.56244034144376,-0.353968377143985,1.86161966326622,-0.331793314712226
1.70250834628005,-0.441314224416309,1.5630545715827,-0.386063480324857,1.84196212097741,-0.496564968507761
1.64089715980584,-0.518196200952921,1.55658975845879,-0.394130645386082,1.72520456115288,-0.64226175651976
1.54673113090926,-0.547171288990556,1.54640298178813,-0.397171647930471,1.54705928003039,-0.697170930050641
1.44673137020254,-0.547390055071308,1.44640322108141,-0.397390414011223,1.44705951932367,-0.697389696131393
1.34673160949582,-0.547608821152061,1.34640346037469,-0.397609180091976,1.34705975861694,-0.697608462212146
1.24673184878909,-0.547827587232813,1.24640369966796,-0.397827946172728,1.24705999791022,-0.697827228292898
1.14673208808237,-0.548046353313566,1.14640393896124,-0.398046712253481,1.1470602372035,-0.69804599437365
1.04789773663248,-0.536393260462282,1.09194369378252,-0.393005835425297,1.00385177948244,-0.679780685499266
0.96002023905181,-0.489920018137524,1.0537401704193,-0.37280223782867,0.86630030768432,-0.607037798446377
0.895410526828108,-0.41437002197878,1.0256519940558,-0.339957924747358,0.765169059600418,-0.488782119210201
0.863135777507305,-0.320345783670271,1.01162099438393,-0.299082191097448,0.714650560630685,-0.341609376243094
0.867725354744962,-0.221042447301368,1.01361624943844,-0.255911442777806,0.721834460051482,-0.18617345182493
0.9083365573855,-0.130264975194182,1.0346945194437,-0.21109606713595,0.7819785953273,-0.0494338832524137
0.962223952013346,-0.0460263338220486,1.08858191407155,-0.126857425763817,0.835865989955146,0.0348047581197198
1.01611134664119,0.0382123075500841,1.14246930869939,-0.0426187843916842,0.889753384582992,0.119043399491852
1.06999874126904,0.122450948922217,1.19635670332724,0.0416198569804484,0.943640779210837,0.203282040863985
1.12388613589688,0.20668959029435,1.25024409795508,0.125858498352582,0.997528173838683,0.287520682236119
1.17777353052473,0.290928231666483,1.30413149258293,0.210097139724715,1.05141556846653,0.371759323608251
1.23166092515257,0.375166873038616,1.35801888721077,0.294335781096848,1.10530296309437,0.455997964980385
1.28554831978042,0.459405514410749,1.41190628183862,0.378574422468981,1.15919035772222,0.540236606352517
1.33943571440826,0.543644155782882,1.46579367646646,0.462813063841114,1.21307775235006,0.62447524772465
1.39332310903611,0.627882797155015,1.51968107109431,0.547051705213247,1.26696514697791,0.708713889096784
1.44076736289723,0.715412795739772,1.58498628006025,0.674170779150809,1.2965484457342,0.756654812328735
1.43953373559533,0.813999240844608,1.58267552275218,0.858837045982032,1.29639194843847,0.769161435707184
1.38430300296325,0.895671605617845,1.47922059851109,1.01182086327977,1.28938540741541,0.779522347955921
1.29326668548915,0.933529205851916,1.30869678181268,1.08273346895269,1.27783658916561,0.784324942751137
1.19329815964308,0.934279246324199,1.19300354064338,1.0842789569894,1.19359277864278,0.784279535658995
1.09329835253294,0.934082833657731,1.09300373353324,1.08408254432294,1.09359297153264,0.784083122992527
0.993298545422805,0.933886420991263,0.993003926423103,1.08388613165647,0.993593164422507,0.783886710326059
0.893298738312669,0.933690008324795,0.893004119312967,1.08368971899,0.893593357312371,0.783690297659591
