"X","Y","X_inner","Y_inner","X_outter","Y_outter"
-1,1,-1,0.7,-1,1.3
-0.75,1,-0.75,0.7,-0.75,1.3
-0.5,1,-0.5,0.7,-0.5,1.3
-0.25,1,-0.25,0.7,-0.25,1.3
0,1,1.83697019872103e-17,0.7,1.83697019872103e-17,1.3
0.25,1,0.25,0.7,0.25,1.3
0.5,1,0.5,0.7,0.5,1.3
0.75,1,0.75,0.7,0.75,1.3
1,1,1,0.7,1,1.3
1.24740395925452,0.968912421710645,1.17318277147817,0.678238695197451,1.32162514703088,1.25958614822384
1.4794255386042,0.877582561890373,1.33559787702294,0.614307793323261,1.62325320018546,1.14085733045748
1.68163876002333,0.731688868873821,1.47714713201633,0.512182208211675,1.88613038803033,0.951195529535967
1.8414709848079,0.54030230586814,1.58902968936553,0.378211614107698,2.09391228025027,0.702392997628582
1.94898461935559,0.315322362395269,1.66428923354891,0.220725653676688,2.23368000516226,0.409919071113849
1.99749498660405,0.070737201667703,1.69824649062284,0.0495160411673921,2.29674348258527,0.0919583621680139
1.98398594687394,-0.178246055649492,1.68879016281176,-0.124772238954644,2.27918173093612,-0.23171987234434
1.90929742682568,-0.416146836547142,1.63650819877798,-0.291302785583,2.18208665487339,-0.540990887511285
1.77807319688792,-0.628173622722739,1.54465123782154,-0.439721535905917,2.0114951559543,-0.816625709539561
1.59847214410396,-0.801143615546934,1.41893050087277,-0.560800530882853,1.77801378733514,-1.04148670021101
1.38166099205233,-0.924302378632464,1.26716269443663,-0.647011665042724,1.49615928966803,-1.2015930922222
1.14112000805987,-0.989992496600445,1.09878400564191,-0.692994747620312,1.18345601047783,-1.28699024558058
0.891592653589793,-1,0.891592653589793,-0.7,0.891592653589793,-1.3
0.641592653589793,-1,0.641592653589793,-0.7,0.641592653589793,-1.3
0.391592653589793,-1,0.391592653589793,-0.7,0.391592653589793,-1.3
0.141592653589793,-1,0.141592653589793,-0.7,0.141592653589793,-1.3
-0.108407346410207,-1,-0.108407346410207,-0.7,-0.108407346410207,-1.3
-0.358407346410207,-1,-0.358407346410207,-0.7,-0.358407346410207,-1.3
-0.608407346410207,-1,-0.608407346410207,-0.7,-0.608407346410207,-1.3
-0.858407346410207,-1,-0.858407346410207,-0.7,-0.858407346410207,-1.3
-1.10819513453011,-0.994129676080546,-1.07573659417108,-0.695890773256382,-1.14065367488914,-1.29236857890471
-1.35078322768962,-0.936456687290796,-1.24554825938273,-0.655519681103557,-1.45601819599651,-1.21739369347803
-1.57156131874234,-0.82055935733956,-1.40009292311964,-0.574391550137692,-1.74302971436505,-1.06672716454143
-1.75680249530793,-0.653643620863611,-1.52976174671555,-0.457550534604528,-1.98384324390031,-0.849736707122695
-1.89498935822858,-0.446087489913792,-1.62649255076001,-0.312261242939655,-2.16348616569716,-0.57991373688793
-1.9775301176651,-0.210795799430779,-1.68427108236557,-0.147557059601545,-2.27078915296463,-0.274034539260013
-1.99929278897538,0.0376021528879773,-1.69950495228276,0.0263215070215841,-2.29908062566799,0.0488827987543705
-1.95892427466314,0.283662185463227,-1.6712469922642,0.198563529824259,-2.24660155706208,0.368760841102195
-1.85893449342659,0.512085477241841,-1.60125414539861,0.358459834069289,-2.11661484145457,0.665711120414393
-1.70554032557039,0.70866977429126,-1.49387822789927,0.496068842003882,-1.91720242324151,0.921270706578638
-1.50827907749926,0.861192417161521,-1.35579535424948,0.602834692013065,-1.66076280074903,1.11955014230998
-1.27941549819892,0.960170286650366,-1.19559084873925,0.672119200655256,-1.3632401476586,1.24822137264548
-1.03317921654756,0.999449418224499,-1.02322545158329,0.699614592757149,-1.04313298151182,1.29928424369185
-1,1,-1,0.7,-1,1.3
