X,Y,X_inner,Y_inner,X_outter,Y_outter
0,0,6.12323399573677e-17,-1,6.12323399573677e-17,1
0.1,0,0.1,-1,0.1,1
0.2,0,0.2,-1,0.2,1
0.3,0,0.3,-1,0.3,1
0.4,0,0.4,-1,0.4,1
0.5,0,0.5,-1,0.5,1
0.6,0,0.6,-1,0.6,1
0.7,0,0.7,-1,0.7,1
0.8,0,0.8,-1,0.8,1
0.9,0,0.9,-1,0.9,1
1,0,1,-1,1,1
1.1,0,1.1,-1,1.1,1
1.2,0,1.2,-1,1.2,1
1.3,0,1.3,-1,1.3,1
1.4,0,1.4,-1,1.4,1
1.5,0,1.5,-1,1.5,1
1.6,0,1.6,-1,1.6,1
1.7,0,1.7,-1,1.7,1
1.8,0,1.8,-1,1.8,1
1.9,0,1.9,-1,1.9,1
2,0,2,-1,2,1
2.1,0,2.1,-1,2.1,1
2.2,0,2.2,-1,2.2,1
2.3,0,2.3,-1,2.3,1
2.4,0,2.4,-1,2.4,1
2.5,0,2.5,-1,2.5,1
2.6,0,2.6,-1,2.6,1
2.7,0,2.7,-1,2.7,1
2.8,0,2.8,-1,2.8,1
2.9,0,2.9,-1,2.9,1
3,0,3,-1,3,1
3.1,0,3.1,-1,3.1,1
3.2,0,3.2,-1,3.2,1
3.3,0,3.3,-1,3.3,1
3.4,0,3.4,-1,3.4,1
3.5,0,3.5,-1,3.5,1
3.6,0,3.6,-1,3.6,1
3.7,0,3.7,-1,3.7,1
3.8,0,3.8,-1,3.8,1
3.9,0,3.9,-1,3.9,1
4,0,4,-1,4,1
4.1,0,4.1,-1,4.1,1
4.2,0,4.2,-1,4.2,1
4.3,0,4.3,-1,4.3,1
4.4,0,4.4,-1,4.4,1
4.5,0,4.5,-1,4.5,1
4.6,0,4.6,-1,4.6,1
4.7,0,4.7,-1,4.7,1
4.8,0,4.8,-1,4.8,1
4.9,0,4.9,-1,4.9,1
5,0,5,-1,5,1
5.1,0,5.1,-1,5.1,1
5.2,0,5.2,-1,5.2,1
5.3,0,5.3,-1,5.3,1
5.4,0,5.4,-1,5.4,1
5.5,0,5.5,-1,5.5,1
5.6,0,5.6,-1,5.6,1
5.7,0,5.7,-1,5.7,1
5.8,0,5.8,-1,5.8,1
5.9,0,5.9,-1,5.9,1
6,0,6,-1,6,1
6.1,0,6.1,-1,6.1,1
6.2,0,6.2,-1,6.2,1
6.3,0,6.3,-1,6.3,1
6.4,0,6.4,-1,6.4,1
6.5,0,6.5,-1,6.5,1
6.6,0,6.6,-1,6.6,1
6.7,0,6.7,-1,6.7,1
6.8,0,6.8,-1,6.8,1
6.9,0,6.9,-1,6.9,1
7,0,7,-1,7,1
7.1,0,7.1,-1,7.1,1
7.2,0,7.2,-1,7.2,1
7.3,0,7.3,-1,7.3,1
7.4,0,7.4,-1,7.4,1
7.5,0,7.5,-1,7.5,1
7.6,0,7.6,-1,7.6,1
7.7,0,7.7,-1,7.7,1
7.8,0,7.8,-1,7.8,1
7.9,0,7.9,-1,7.9,1
8,0,8,-1,8,1
8.1,0,8.1,-1,8.1,1
8.2,0,8.2,-1,8.2,1
8.3,0,8.3,-1,8.3,1
8.4,0,8.4,-1,8.4,1
8.5,0,8.5,-1,8.5,1
8.6,0,8.6,-1,8.6,1
8.7,0,8.7,-1,8.7,1
8.8,0,8.8,-1,8.8,1
8.9,0,8.9,-1,8.9,1
9,0,9,-1,9,1
9.1,0,9.1,-1,9.1,1
9.2,0,9.2,-1,9.2,1
9.3,0,9.3,-1,9.3,1
9.4,0,9.4,-1,9.4,1
9.5,0,9.5,-1,9.5,1
9.6,0,9.6,-1,9.6,1
9.7,0,9.7,-1,9.7,1
9.8,0,9.8,-1,9.8,1
9.9,0,9.9,-1,9.9,1
10,0,10,-1,10,1
10.1,0,10.1,-1,10.1,1
10.2,0,10.2,-1,10.2,1
10.3,0,10.3,-1,10.3,1
10.4,0,10.4,-1,10.4,1
10.5,0,10.5,-1,10.5,1
10.6,0,10.6,-1,10.6,1
10.7,0,10.7,-1,10.7,1
10.8,0,10.8,-1,10.8,1
10.9,0,10.9,-1,10.9,1
11,0,11,-1,11,1
11.1,0,11.1,-1,11.1,1
11.2,0,11.2,-1,11.2,1
11.3,0,11.3,-1,11.3,1
11.4,0,11.4,-1,11.4,1
11.5,0,11.5,-1,11.5,1
11.6,0,11.6,-1,11.6,1
11.7,0,11.7,-1,11.7,1
11.8,0,11.8,-1,11.8,1
11.9,0,11.9,-1,11.9,1
12,0,12,-1,12,1
12.1,0,12.1,-1,12.1,1
12.2,0,12.2,-1,12.2,1
12.3,0,12.3,-1,12.3,1
12.4,0,12.4,-1,12.4,1
12.5,0,12.5,-1,12.5,1
12.6,0,12.6,-1,12.6,1
12.7,0,12.7,-1,12.7,1
12.8,0,12.8,-1,12.8,1
12.9,0,12.9,-1,12.9,1
13,0,13,-1,13,1
13.1,0,13.1,-1,13.1,1
13.2,0,13.2,-1,13.2,1
13.3,0,13.3,-1,13.3,1
13.4,0,13.4,-1,13.4,1
13.5,0,13.5,-1,13.5,1
13.6,0,13.6,-1,13.6,1
13.7,0,13.7,-1,13.7,1
13.8,0,13.8,-1,13.8,1
13.9,0,13.9,-1,13.9,1
14,0,14,-1,14,1
14.1,0,14.1,-1,14.1,1
14.2,0,14.2,-1,14.2,1
14.3,0,14.3,-1,14.3,1
14.4,0,14.4,-1,14.4,1
14.5,0,14.5,-1,14.5,1
14.6,0,14.6,-1,14.6,1
14.7,0,14.7,-1,14.7,1
14.8,0,14.8,-1,14.8,1
14.9,0,14.9,-1,14.9,1
15,0,15,-1,15,1
15.1,0,15.1,-1,15.1,1
15.2,0,15.2,-1,15.2,1
15.3,0,15.3,-1,15.3,1
15.4,0,15.4,-1,15.4,1
15.5,0,15.5,-1,15.5,1
15.6,0,15.6,-1,15.6,1
15.7,0,15.7,-1,15.7,1
15.8,0,15.8,-1,15.8,1
15.9,0,15.9,-1,15.9,1
16,0,16,-1,16,1
16.1,0,16.1,-1,16.1,1
16.2,0,16.2,-1,16.2,1
16.3,0,16.3,-1,16.3,1
16.4,0,16.4,-1,16.4,1
16.5,0,16.5,-1,16.5,1
16.6,0,16.6,-1,16.6,1
16.7,0,16.7,-1,16.7,1
16.8,0,16.8,-1,16.8,1
16.9,0,16.9,-1,16.9,1
17,0,17,-1,17,1
17.1,0,17.1,-1,17.1,1
17.2,0,17.2,-1,17.2,1
17.3,0,17.3,-1,17.3,1
17.4,0,17.4,-1,17.4,1
17.5,0,17.5,-1,17.5,1
17.6,0,17.6,-1,17.6,1
17.6999998489328,-7.02850454673235e-05,17.6935518498552,-1.00004949648333,17.7064478480104,0.999908926392398
17.7999736554476,-0.0021937275905766,17.7639558997491,-1.00154487772472,17.8359914111461,0.997157422543572
17.8998409381973,-0.00727278591884014,17.8342849329488,-1.00512167737278,17.9653969434457,0.990576105535103
17.9995143367815,-0.0153030170479638,17.9044774280798,-1.01077676656848,18.0945512454831,0.980170732472554
18.0989066604028,-0.0262773964130744,17.9744719832064,-1.0185051984379,18.2233413375993,0.965950405611753
18.1979309641387,-0.0401863240115613,18.0442073695438,-1.02830021241959,18.3516545587335,0.947927564396466
18.2965006249971,-0.0570176328008252,18.113622585019,-1.04015324017846,18.4793786649752,0.926117974576805
18.3945294176919,-0.0767565993415776,18.1826569076334,-1.05405391310106,18.6064019277505,0.900540714417903
18.4919315900695,-0.0993859566773906,18.2512499485799,-1.0699900713657,18.7326132315591,0.871218158010916
18.5886219381217,-0.124885909439229,18.3193417050694,-1.0879477745794,18.8579021711741,0.838175955700947
18.6845158805193,-0.153234151161739,18.3868726128185,-1.10791131397251,18.98215914822,0.801443011649032
18.7795295326008,-0.184405883796169,18.4537835981551,-1.12986322614012,19.1052754670465,0.761051458547783
18.8735797797521,-0.218373839402832,18.5200161296932,-1.15378430831851,19.227143429811,0.717036629512842
18.9665843501116,-0.255108304004138,18.5855122695345,-1.17965363518298,19.3476564306888,0.669437027174706
19.0584618865395,-0.294577143577353,18.6502147239503,-1.20744857715268,19.4667090491287,0.61829428999797
19.1491320177854,-0.336745832164305,18.7140668935001,-1.23714482018607,19.5841971420707,0.563653155857465
19.2385154287951,-0.381577482073485,18.7770129225431,-1.2687163870501,19.7000179350471,0.505561422903131
19.3265339300919,-0.429032876148115,18.8389977480981,-1.30213566004409,19.8140701120857,0.444069907747861
19.4131105261743,-0.479070502071932,18.8999671480111,-1.33737340515879,19.9262539043374,0.379232401014923
19.498169482869,-0.531646588682717,18.9598677883872,-1.37439879764922,20.0364711773509,0.311105620283788
19.5816363935807,-0.586715144261768,19.0186472702444,-1.41317944899914,20.144625516917,0.239749160475602
19.6634382443797,-0.644227996765844,19.0762541753513,-1.45368143525331,20.2506223134082,0.165225441721618
19.7435034778728,-0.704134835966392,19.1326381112053,-1.49586932669304,20.3543688445403,0.0875996547602553
19.8217620557986,-0.766383257459152,19.1877497551148,-1.53970621882884,20.4557743564825,0.00693970391053655
19.8981455202947,-0.830918808505719,19.2415408973442,-1.58515376468319,20.5547501432452,-0.0766838523282504
19.9725870537822,-0.897685035666869,19.2939644832868,-1.6321722083351,20.6512096242776,-0.163197862998639
20.0450215374155,-0.966623534186058,19.3449746546261,-1.68072041969724,20.745068420205,-0.252526648674881
20.1153856080459,-1.03767399907987,19.3945267894512,-1.73075593049506,20.8362444266407,-0.344592067664674
20.1836177136494,-1.11077427789067,19.4425775412906,-1.78223497141658,20.9246578860083,-0.439313584364751
20.2496581671704,-1.18586042505544,19.4890848770297,-1.83511251040025,21.0102314573111,-0.536608339710629
20.3134491987337,-1.26286675784309,19.5340081136807,-1.88934229202738,21.0928902837866,-0.636391223658795
20.3749350061796,-1.3417259138114,19.5773079539699,-1.94487687798479,21.1725620583892,-0.738574949638
20.4340618038777,-1.42236890973336,19.6189465207138,-2.00166768856222,21.2491770870416,-0.843070130904503
20.4907778697768,-1.50472520194126,19.6588873899529,-2.05966504514807,21.3226683496007,-0.94978535873444
20.5450335906494,-1.5887227480358,19.6970956228142,-2.1188182136866,21.3929715584846,-1.058627282385
20.5967815054915,-1.67428806990631,19.7335377960739,-2.17907544905825,21.460025214909,-1.16950069075437
20.64597634704,-1.76134631800675,19.7681820313957,-2.24038404034445,21.5237706626844,-1.28230859566905
20.6925750813711,-1.84982133683156,19.800998023216,-2.30269035693735,21.5841521395261,-1.39695231672577
20.7365369455443,-1.93963573153375,19.8319570652549,-2.36593989545392,21.6411168258337,-1.51333156761357
20.777823483261,-2.03071093562725,19.861032075627,-2.43007732741366,21.694614890895,-1.63134454384084
20.8163985785044,-2.12296727971411,19.8881976205318,-2.49504654763798,21.744599536477,-1.75088801179024
20.8522284871324,-2.21632406117647,19.9134299365022,-2.56079072332903,21.7910270377627,-1.8718573990239
20.8852818663964,-2.31069961477242,19.9367069511922,-2.62725234378512,21.8338567816005,-1.99414688575971
20.9155298023579,-2.40601138407387,19.9580083026848,-2.69437327070897,21.873051302031,-2.11764949743877
20.9429458351823,-2.50217599368404,19.9773153573039,-2.76209478906511,21.9085763130607,-2.24225719830298
20.9675059822845,-2.59910932217133,19.9946112259146,-2.83035765844173,21.9404007386545,-2.36786098590092
20.9891887593083,-2.69672657565576,20.0098807786968,-2.89910216487211,21.9684967399198,-2.4943509864394
21.0079752099385,-2.79494236004398,20.0231247732201,-2.96834829216775,21.9928256466568,-2.62153642792021
21.0253158031508,-2.89342740371581,20.0404653664325,-3.06683333583958,22.0101662398692,-2.72002147159204
21.0426563963632,-2.99191244738765,20.0578059596449,-3.16531837951141,22.0275068330816,-2.81850651526388
21.0599969895756,-3.09039749105948,20.0751465528573,-3.26380342318325,22.0448474262939,-2.91699155893571
21.077337582788,-3.18888253473131,20.0924871460696,-3.36228846685508,22.0621880195063,-3.01547660260754
21.0946781760004,-3.28736757840315,20.109827739282,-3.46077351052691,22.0795286127187,-3.11396164627938
21.1120187692127,-3.38585262207498,20.1271683324944,-3.55925855419874,22.0968692059311,-3.21244668995121
21.1293593624251,-3.48433766574681,20.1445089257068,-3.65774359787058,22.1142097991434,-3.31093173362304
21.1466999556375,-3.58282270941865,20.1618495189192,-3.75622864154241,22.1315503923558,-3.40941677729488
21.1640405488499,-3.68130775309048,20.1791901121315,-3.85471368521424,22.1488909855682,-3.50790182096671
21.1813811420622,-3.77979279676231,20.1965307053439,-3.95319872888608,22.1662315787806,-3.60638686463854
21.1987217352746,-3.87827784043414,20.2138712985563,-4.05168377255791,22.1835721719929,-3.70487190831038
21.216062328487,-3.97676288410598,20.2312118917687,-4.15016881622974,22.2009127652053,-3.80335695198221
21.2334029216994,-4.07524792777781,20.248552484981,-4.24865385990158,22.2182533584177,-3.90184199565404
21.2507435149117,-4.17373297144964,20.2658930781934,-4.34713890357341,22.2355939516301,-4.00032703932588
21.2680841081241,-4.27221801512148,20.2832336714058,-4.44562394724524,22.2529345448425,-4.09881208299771
21.2854247013365,-4.37070305879331,20.3005742646182,-4.54410899091708,22.2702751380548,-4.19729712666954
21.3027652945489,-4.46918810246514,20.3179148578305,-4.64259403458891,22.2876157312672,-4.29578217034138
21.3201058877613,-4.56767314613698,20.3352554510429,-4.74107907826074,22.3049563244796,-4.39426721401321
21.3374464809736,-4.66615818980881,20.3525960442553,-4.83956412193258,22.322296917692,-4.49275225768504
21.354787074186,-4.76464323348064,20.3699366374677,-4.93804916560441,22.3396375109043,-4.59123730135688
21.3721276673984,-4.86312827715247,20.38727723068,-5.03653420927624,22.3569781041167,-4.68972234502871
21.3894682606108,-4.96161332082431,20.4046178238924,-5.13501925294808,22.3743186973291,-4.78820738870054
21.4068088538231,-5.06009836449614,20.4219584171048,-5.23350429661991,22.3916592905415,-4.88669243237238
21.4241494470355,-5.15858340816797,20.4392990103172,-5.33198934029174,22.4089998837538,-4.98517747604421
21.4414900402479,-5.25706845183981,20.4566396035296,-5.43047438396358,22.4263404769662,-5.08366251971604
21.4588306334603,-5.35555349551164,20.4739801967419,-5.52895942763541,22.4436810701786,-5.18214756338787
21.4761712266726,-5.45403853918347,20.4913207899543,-5.62744447130724,22.461021663391,-5.28063260705971
21.493511819885,-5.55252358285531,20.5086613831667,-5.72592951497908,22.4783622566034,-5.37911765073154
21.5108524130974,-5.65100862652714,20.5260019763791,-5.82441455865091,22.4957028498157,-5.47760269440337
21.5281930063098,-5.74949367019897,20.5433425695914,-5.92289960232274,22.5130434430281,-5.57608773807521
21.5455335995221,-5.8479787138708,20.5606831628038,-6.02138464599457,22.5303840362405,-5.67457278174704
21.5628741927345,-5.94646375754264,20.5780237560162,-6.11986968966641,22.5477246294529,-5.77305782541887
21.5802147859469,-6.04494880121447,20.5953643492286,-6.21835473333824,22.5650652226652,-5.87154286909071
