X,Y,X_inner,Y_inner,X_outter,Y_outter
0,0,0.63903047244775,-7.97443666068539,-0.639030472447749,7.97443666068539
9.96804582585674,0.798788090559688,10.6070762983045,-7.17564857012571,9.32901535340899,8.77322475124508
19.9360916517135,1.59757618111938,20.5751221241612,-6.37686047956602,19.2970611792657,9.57201284180477
29.9041374775702,2.39636427167906,30.543167950018,-5.57807238900633,29.2651070051225,10.3708009323645
39.872183303427,3.19515236223875,40.5112137758747,-4.77928429844664,39.2331528309792,11.1695890229241
49.8402291292837,3.99394045279844,50.4792596017315,-3.98049620788695,49.201198656836,11.9683771134838
59.8082749551404,4.79272854335813,60.4473054275882,-3.18170811732726,59.1692444826927,12.7671652040435
69.7763207809972,5.59151663391782,70.415351253445,-2.38292002676758,69.1372903085495,13.5659532946032
79.7443666068539,6.39030472447751,80.3833970793017,-1.58413193620789,79.1053361344062,14.3647413851629
89.7124124327107,7.18909281503719,90.3514429051584,-0.7853438456482,89.0733819602629,15.1635294757226
99.6804582585674,7.98788090559688,100.319488731015,0.0134442449114891,99.0414277861197,15.9623175662823
109.648504084424,8.78666899615657,110.287534556872,0.812232335471178,109.009473611976,16.761105656842
119.616549910281,9.58545708671626,120.255580382729,1.61102042603087,118.977519437833,17.5598937474017
129.584595736138,10.3842451772759,130.223626208585,2.40980851659055,128.94556526369,18.3586818379613
139.552641561994,11.1830332678356,140.191672034442,3.20859660715024,138.913611089547,19.157469928521
149.520687387851,11.9818213583953,150.159717860299,4.00738469770993,148.881656915403,19.9562580190807
159.488733213708,12.780609448955,160.127763686156,4.80617278826962,158.84970274126,20.7550461096404
169.456779039565,13.5793975395147,170.095809512012,5.60496087882931,168.817748567117,21.5538342002001
179.424824865421,14.3781856300744,180.063855337869,6.40374896938899,178.785794392974,22.3526222907598
189.392870691278,15.1769737206341,190.031901163726,7.20253705994868,188.75384021883,23.1514103813195
199.360916517135,15.9757618111938,199.999946989583,8.00132515050837,198.721886044687,23.9501984718792
